-628.333948,-801.419936,-690.320693,-1128.147831,-433.777031,-332.680767,-475.301979,-560.566417,-292.316200,-319.770026,-372.080388,-352.254851,-289.539418,-430.112252,-546.351714,-318.144412,-413.275838,-856.994450,-366.556214,1512.284081,-1220.403641,1316.715366,788.280784,857.467921,1080.648414,923.379820
-628.324388,-801.414910,-690.311729,-1128.136079,-433.772995,-332.678086,-475.291503,-560.578559,-292.314786,-319.769288,-372.080687,-352.252982,-289.540134,-430.113454,-546.354848,-318.147615,-413.277814,-856.982565,-366.547945,1511.445424,-1220.406952,1316.698879,788.258194,857.455975,1081.541868,923.318053
-628.240938,-801.336370,-690.236850,-1128.007415,-433.754651,-332.675080,-475.254326,-560.565881,-292.316435,-319.763913,-372.072841,-352.245844,-289.545095,-430.102094,-546.333260,-318.153722,-413.269862,-856.895250,-366.517794,1509.361638,-1220.305442,1316.808855,788.355655,857.553146,1082.572231,923.409054
-628.138026,-801.238675,-690.144756,-1127.848235,-433.732588,-332.671967,-475.210156,-560.546643,-292.318829,-319.757261,-372.062849,-352.237291,-289.551110,-430.087401,-546.305205,-318.160556,-413.259281,-856.788211,-366.481838,1506.944815,-1220.176747,1316.951316,788.491546,857.680979,1083.637951,923.539314
-627.951917,-801.058501,-689.978658,-1127.557835,-433.694516,-332.668473,-475.135984,-560.499438,-292.324576,-319.745283,-372.043696,-352.222754,-289.561798,-430.058548,-546.249364,-318.170601,-413.237474,-856.596402,-366.421159,1503.114994,-1219.930691,1317.234905,788.760529,857.950707,1084.856757,923.840017
-627.839374,-800.951350,-689.878063,-1127.383593,-433.670629,-332.665310,-475.088360,-560.476955,-292.327329,-319.737984,-372.032647,-352.213494,-289.568322,-430.042210,-546.218109,-318.177788,-413.225581,-856.479602,-366.382317,1500.531390,-1219.788612,1317.393319,788.911729,858.100065,1085.939873,923.989534
-627.873880,-800.989985,-689.908281,-1127.441318,-433.675074,-332.662837,-475.093772,-560.503916,-292.324144,-319.740066,-372.037801,-352.214793,-289.566566,-430.050920,-546.235952,-318.179293,-413.233498,-856.512590,-366.387141,1500.440801,-1219.854052,1317.302150,788.815144,858.016577,1086.752305,923.837556
-627.903043,-801.023028,-689.933534,-1127.490206,-433.678405,-332.660362,-475.097197,-560.529107,-292.321266,-319.741899,-372.042362,-352.215754,-289.565210,-430.058743,-546.251954,-318.181062,-413.240728,-856.539951,-366.390450,1500.268743,-1219.911316,1317.221274,788.723506,857.930920,1087.575611,923.698017
-627.859209,-800.984041,-689.894095,-1127.424417,-433.667772,-332.657519,-475.074364,-560.529724,-292.321230,-319.738967,-372.038885,-352.211420,-289.567848,-430.054107,-546.243648,-318.185585,-413.238084,-856.493164,-366.371997,1498.848256,-1219.866304,1317.262872,788.758468,857.974617,1088.532083,923.706415
-627.815214,-800.944809,-689.854450,-1127.358250,-433.657078,-332.654680,-475.051455,-560.530292,-292.321228,-319.736056,-372.035387,-352.207089,-289.570527,-430.049447,-546.235273,-318.190132,-413.235431,-856.446166,-366.353521,1497.428313,-1219.820870,1317.305115,788.794565,858.012688,1089.489164,923.715603
-627.653729,-800.789102,-689.710297,-1127.106774,-433.623771,-332.651299,-474.986175,-560.491364,-292.325963,-319.725628,-372.018951,-352.194310,-289.579808,-430.024788,-546.187663,-318.199214,-413.216932,-856.279467,-366.300137,1494.013622,-1219.609692,1317.546671,789.020513,858.248459,1090.662441,923.965517
-627.609572,-800.749624,-689.670446,-1127.040230,-433.613017,-332.648464,-474.963190,-560.491883,-292.325995,-319.722737,-372.015432,-352.189983,-289.582527,-430.020104,-546.179220,-318.203784,-413.214272,-856.232259,-366.281639,1492.594222,-1219.563836,1317.589557,789.057743,858.280903,1091.620132,923.975496
-627.712625,-800.856180,-689.761614,-1127.206030,-433.630655,-332.646314,-474.993317,-560.541895,-292.320054,-319.729207,-372.028138,-352.196213,-289.576926,-430.040490,-546.219943,-318.202648,-413.231430,-856.335049,-366.306830,1493.667293,-1219.725921,1317.382218,788.846055,858.086129,1092.306529,923.683189
-627.815092,-800.962024,-689.852199,-1127.370773,-433.648101,-332.644143,-475.023225,-560.591626,-292.314161,-319.735670,-372.040658,-352.202416,-289.571383,-430.060688,-546.260374,-318.201516,-413.248483,-856.437186,-366.331834,1494.742019,-1219.886744,1317.170501,788.637340,857.880745,1092.994763,923.393143
-627.834909,-800.986106,-689.869356,-1127.405339,-433.649719,-332.641601,-475.023341,-560.613647,-292.311567,-319.736812,-372.044194,-352.202659,-289.570451,-430.066895,-546.273314,-318.203587,-413.254419,-856.455216,-366.332293,1494.402074,-1219.931475,1317.104226,788.565420,857.821104,1093.834203,923.271235
-627.751928,-800.908343,-689.795119,-1127.277846,-433.631556,-332.638573,-474.986397,-560.601099,-292.313100,-319.731370,-372.036405,-352.195507,-289.575281,-430.055589,-546.251943,-318.209616,-413.246495,-856.368572,-366.302205,1492.316561,-1219.831298,1317.212116,788.665994,857.929198,1094.862608,923.359708
-627.742047,-800.903106,-689.785982,-1127.265785,-433.627435,-332.635847,-474.975848,-560.613012,-292.311649,-319.730570,-372.036532,-352.193595,-289.575962,-430.056610,-546.254911,-318.212760,-413.248373,-856.356462,-366.293768,1491.478454,-1219.834199,1317.188991,788.651681,857.911065,1095.756633,923.298554
-627.737221,-800.902685,-689.781165,-1127.261376,-433.624280,-332.633193,-474.967061,-560.626752,-292.310072,-319.730165,-372.037350,-352.192082,-289.576443,-430.058622,-546.259611,-318.215798,-413.251001,-856.349352,-366.286931,1490.723460,-1219.843991,1317.164850,788.622003,857.885544,1096.641694,923.227555
-627.820548,-800.989548,-689.854690,-1127.395883,-433.638092,-332.630966,-474.990048,-560.670149,-292.304967,-319.735408,-372.047885,-352.196910,-289.571992,-430.075668,-546.293717,-318.215448,-413.265506,-856.431947,-366.306286,1491.464699,-1219.977974,1316.991510,788.436867,857.723861,1097.364847,922.976295
